time,lat,lon,altitude,accuracy,speed,angle
1697716336403,41.4614031,-8.4332065,427.0,3.67,0.003,6.0
1697716337403,41.4614033,-8.4332067,427.0,2.38,0.000,6.0
1697716338403,41.4614033,-8.4332067,427.0,2.38,0.000,6.0
1697716339444,41.4614033,-8.4332067,427.0,2.38,0.000,6.0
1697716340444,41.4614033,-8.4332067,427.0,1.98,0.000,6.0
1697716341443,41.4614033,-8.4332067,427.0,1.98,0.000,6.0
1697716342443,41.4614033,-8.4332067,427.0,1.98,0.000,5.0
1697716343444,41.4614033,-8.4332067,427.0,2.03,0.000,5.0
1697716344444,41.4614033,-8.4332067,427.0,2.03,0.000,6.0
1697716345456,41.4614033,-8.4332067,427.0,2.03,0.000,6.0
1697716346443,41.4614033,-8.4332067,427.0,2.27,0.000,6.0
1697716347443,41.4614033,-8.4332067,427.0,2.27,0.000,6.0
1697716348443,41.4614033,-8.4332067,427.0,2.27,0.000,6.0
1697716349643,41.4614033,-8.4332067,427.0,2.23,0.000,6.0
1697716350644,41.4614033,-8.4332067,427.0,2.23,0.000,6.0
1697716351684,41.4614033,-8.4332067,427.0,2.23,0.000,6.0
1697716352683,41.4614033,-8.4332067,427.0,2.38,0.000,6.0
1697716353683,41.4614033,-8.4332067,427.0,2.38,0.000,6.0
1697716354683,41.4614033,-8.4332067,427.0,2.38,0.000,6.0
1697716355856,41.4614033,-8.4332067,427.0,2.00,0.000,6.0
1697716356843,41.4614033,-8.4332067,427.0,2.00,0.000,6.0
1697716357843,41.4614033,-8.4332067,427.0,2.00,0.000,6.0
1697716358843,41.4614033,-8.4332067,427.0,2.10,0.000,6.0
1697716359863,41.4614033,-8.4332067,427.0,2.10,0.000,6.0
1697716360864,41.4614033,-8.4332067,427.0,2.10,0.000,6.0
1697716361863,41.4614033,-8.4332067,427.0,2.37,0.000,6.0
1697716362863,41.4614033,-8.4332067,427.0,2.37,0.000,6.0
1697716363864,41.4614033,-8.4332067,427.0,2.37,0.000,6.0
1697716364863,41.461478,-8.4332684,427.0,2.43,0.002,6.0
1697716365863,41.461478,-8.4332684,427.0,2.43,0.002,6.0
1697716366863,41.461478,-8.4332684,427.0,2.43,0.002,6.0
1697716367883,41.4615099,-8.4332826,427.0,2.68,0.000,6.0
1697716368883,41.4615099,-8.4332826,427.0,2.68,0.000,6.0
1697716369883,41.4615116,-8.4332833,427.0,2.13,0.000,6.0
1697716370883,41.4615116,-8.4332833,427.0,2.13,0.000,6.0
1697716371883,41.4615116,-8.4332833,427.0,2.13,0.000,6.0
1697716372885,41.4615117,-8.4332833,427.0,2.00,0.000,6.0
1697716373883,41.4615117,-8.4332833,427.0,2.00,0.000,6.0
1697716374883,41.4615117,-8.4332833,427.0,2.00,0.000,6.0
1697716375883,41.4615117,-8.4332833,427.0,2.00,0.000,6.0
1697716376883,41.4615484,-8.4332989,427.0,2.01,0.001,6.0
1697716377883,41.4615484,-8.4332989,427.0,2.01,0.001,6.0
1697716378884,41.461561,-8.4333016,427.0,2.07,0.000,6.0
1697716379903,41.461561,-8.4333016,427.0,2.07,0.000,6.0
1697716380903,41.461561,-8.4333016,427.0,2.07,0.000,6.0
1697716381923,41.4615617,-8.4333017,427.0,2.06,0.000,6.0
1697716382924,41.4615617,-8.4333017,427.0,2.06,0.000,6.0
1697716383923,41.4615617,-8.4333017,427.0,2.06,0.000,6.0
1697716384923,41.4615617,-8.4333017,427.0,1.96,0.000,6.0
1697716385923,41.4615617,-8.4333017,427.0,1.96,0.000,6.0
1697716386923,41.4615617,-8.4333017,427.0,1.96,0.000,6.0
1697716387923,41.4615617,-8.4333017,427.0,1.88,0.000,6.0
1697716388923,41.4615617,-8.4333017,427.0,1.88,0.000,6.0
1697716389924,41.4615617,-8.4333017,427.0,1.88,0.000,6.0
1697716390923,41.4615617,-8.4333017,427.0,1.90,0.000,6.0
1697716391923,41.4615617,-8.4333017,427.0,1.90,0.000,6.0
1697716392923,41.4615617,-8.4333017,427.0,1.90,0.000,6.0
1697716393963,41.4615617,-8.4333017,427.0,1.90,0.000,6.0
1697716394963,41.4615617,-8.4333017,427.0,1.90,0.000,6.0
1697716395963,41.4615617,-8.4333017,427.0,1.90,0.000,6.0
