Time,Normalized Value
395.163,1
395.184,1
395.203,1
395.223,1
395.242,1
395.262,1
395.282,1
395.303,1
395.322,1
395.343,1
395.362,1
395.382,1
395.402,1
395.422,1
395.442,1
395.462,1
395.482,1
395.503,1
395.523,1
395.543,1
395.563,1
395.583,1
395.602,1
395.623,1
395.642,1
395.662,1
395.685,1
395.704,1
395.724,1
395.741,1
395.762,1
395.783,1
395.803,1
395.823,1
395.843,1
395.862,1
395.883,1
395.903,1
395.924,1
395.944,1
395.962,1
395.984,1
396.002,1
396.022,1
396.042,1
396.063,1
396.083,1
396.102,1
396.122,1
396.144,1
396.162,1
396.183,1
396.202,1
396.222,1
396.241,1
396.263,1
396.284,1
396.303,1
396.323,1
396.341,1
396.363,1
396.383,1
396.404,1
396.423,1
396.443,1
396.463,1
396.483,1
396.504,1
396.523,1
396.542,1
396.562,1
396.582,1
396.602,1
396.624,1
396.642,1
396.662,1
396.682,1
396.704,1
396.722,1
396.743,1
396.763,1
396.782,1
396.803,1
396.822,1
396.842,1
396.862,1
396.882,1
396.902,1
396.923,1
396.943,1
396.962,1
396.983,1
397.003,1
397.023,1
397.044,1
397.063,1
397.083,1
397.102,1
397.123,1
397.143,1
397.162,1
397.182,1
397.202,1
397.222,1
397.244,1
397.263,1
397.282,1
397.304,1
397.323,1
397.342,1
397.363,1
397.383,1
397.403,1
397.423,1
397.443,1
397.462,1
397.483,1
397.502,1
397.522,1
397.542,1
397.565,1
397.583,1
397.602,1
397.624,1
397.643,1
397.663,1
397.683,1
397.703,1
397.724,1
397.743,1
397.763,1
397.783,1
397.803,1
397.822,1
397.842,1
397.863,1
397.882,1
397.902,1
397.922,1
397.944,1
397.964,1
397.983,1
398.003,1
398.023,1
398.042,1
398.063,1
398.082,1
398.104,1
398.124,1
398.142,1
398.162,1
398.182,1
398.204,1
398.224,1
398.243,1
398.263,1
398.283,1
398.302,1
398.323,1
398.342,1
398.363,1
398.382,1
398.403,1
398.422,1
398.442,1
398.462,1
398.482,1
398.503,1
398.522,1
398.543,1
398.563,1
398.583,1
398.604,1
398.623,1
398.643,1
398.663,1
398.682,1
398.702,1
398.723,1
398.742,1
398.762,1
398.782,1
398.802,1
398.824,1
398.844,1
398.862,1
398.883,1
398.903,1
398.922,1
398.944,1
398.963,1
398.982,1
399.003,1
399.023,1
399.043,1
399.062,1
399.082,1
399.102,1
399.122,1
399.142,1
399.162,1
399.182,1
399.202,1
399.223,1
399.242,1
399.262,1
399.283,1
399.302,1
399.322,1
399.342,1
399.362,1
399.382,1
399.402,1
399.422,1
399.444,1
399.464,1
399.484,1
399.504,1
399.523,1
399.543,1
399.563,1
399.583,1
399.602,1
399.622,1
399.643,1
399.664,1
399.682,1
399.702,1
399.722,1
399.742,1
399.762,1
399.782,1
399.802,1
399.823,1
399.843,1
399.863,1
399.883,1
399.903,1
399.922,1
399.944,1
399.962,1
399.982,1
400.002,0
400.022,0
400.042,0
400.063,0
400.082,0
400.103,0
400.122,0
400.142,0
400.163,0
400.183,0
400.203,0
400.223,0
400.243,0
400.263,0
400.282,0
400.302,0
400.323,0
400.342,0
400.362,0
400.382,0
400.402,0
400.422,0
400.444,0
400.463,0
400.483,0
400.502,0
400.522,0
400.542,0
400.563,0
400.582,0
400.603,0
400.622,0
400.645,0
400.664,0
400.684,0
400.702,0
400.724,0
400.744,0
400.763,0
400.782,0
400.803,0
400.822,0
400.843,0
400.863,0
400.883,0
400.903,0
400.923,0
400.943,0
400.962,0
400.982,0
401.002,0
401.022,0
401.042,0
401.063,0
401.083,0
401.103,0
401.123,0
401.143,0
401.162,0
401.182,0
401.202,0
401.222,0
401.242,0
401.264,0
401.284,0
401.302,0
401.322,0
401.342,0
401.363,0
401.383,0
401.403,0
401.423,0
401.443,0
401.463,0
401.483,0
401.506,0
401.523,0
401.543,0
401.562,0
401.583,0
401.602,0
401.623,0
401.643,0
401.663,0
401.682,0
401.702,0
401.723,0
401.743,0
401.763,0
401.783,0
401.802,0
401.823,0
401.842,0
401.862,0
401.882,0
401.904,0
401.922,0
401.943,0
401.964,0
401.984,0
402.003,0
402.023,0
402.043,0
402.063,0
402.082,0
402.102,0
402.123,0
402.142,0
402.162,0
402.182,0
402.203,0
402.222,0
402.243,0
402.263,0
402.283,0
402.302,0
402.323,0
402.342,0
402.362,0
402.383,0
402.403,0
402.423,0
402.443,0
402.462,0
402.482,0
402.503,0
402.522,0
402.542,0
402.562,0
402.584,0
402.604,0
402.624,0
402.643,0
402.663,0
402.683,0
402.703,0
402.723,0
402.742,0
402.763,0
402.783,0
402.802,0
402.822,0
402.844,0
402.862,0
402.882,0
402.903,0
402.924,0
402.944,0
402.962,0
402.983,0
403.002,0
403.022,0
403.042,0
403.064,0
403.082,0
403.103,0
403.122,0
403.142,0
403.162,0
403.183,0
403.203,0
403.223,0
403.243,0
403.263,0
403.283,0
403.302,0
403.323,0
403.342,0
403.362,0
403.382,0
403.404,0
403.422,0
403.442,0
403.462,0
403.484,0
403.502,0
403.523,0
403.543,0
403.563,0
403.583,0
403.603,0
403.623,0
403.643,0
403.663,0
403.683,0
403.702,0
403.722,0
403.742,0
403.764,0
403.782,0
403.804,0
403.823,0
403.844,0
403.862,0
403.883,0
403.903,0
403.923,0
403.944,0
403.962,0
403.983,0
404.002,0
404.022,0
404.042,0
404.062,0
404.083,0
404.102,0
404.123,0
404.143,0
404.163,0
404.182,0
404.203,0
404.223,0
404.243,0
404.262,0
404.283,0
404.303,0
404.322,0
404.342,0
404.363,0
404.384,0
404.404,0
404.422,0
404.442,0
404.463,0
404.483,0
404.503,0
404.523,0
404.543,0
404.563,0
404.583,0
404.602,0
404.623,0
404.643,0
404.662,0
404.683,0
404.703,0
404.722,0
404.742,0
404.764,0
404.784,0
404.803,0
404.822,0
404.842,0
404.863,0
404.883,0
404.902,0
404.923,0
404.945,0
404.962,0
404.982,0
405.002,0
405.023,0
405.044,0
405.063,0
405.083,0
405.102,0
405.124,0
405.143,0
405.163,0
405.183,0
405.202,0
405.223,0
405.242,0
405.264,0
405.282,0
405.302,0
405.322,0
405.343,0
405.362,0
405.384,0
405.402,0
405.422,0
405.442,0
405.463,0
405.483,0
405.502,0
405.523,0
405.543,0
405.562,0
405.582,0
405.602,0
405.624,0
405.642,0
405.664,0
405.684,0
405.704,0
405.722,0
405.743,0
405.764,0
405.783,0
405.803,0
405.823,0
405.843,0
405.863,0
